Year,NBA champion
2023,Los Angeles Lakers
2024,Golden State Warriors
2025,Milwaukee Bucks
2026,New York Knicks
2027,Philadelphia 76ers
2028,Los Angeles Clippers
2029,Boston Celtics
2030,Atlanta Hawks
2031,Denver Nuggets
2032,Miami Heat
2033,Brooklyn Nets
2034,Dallas Mavericks
2035,Phoenix Suns
2036,Indiana Pacers
2037,Chicago Bulls
2038,Toronto Raptors
2039,New Orleans Pelicans
2040,San Antonio Spurs
2041,Memphis Grizzlies
2042,Charlotte Hornets
2043,Portland Trail Blazers
2044,Orlando Magic
2045,Washington Wizards
2046,Minnesota Timberwolves
2047,Houston Rockets
2048,Oklahoma City Thunder
2049,Cleveland Cavaliers
2050,Utah Jazz
2051,Detroit Pistons
2052,Sacramento Kings
2053,Los Angeles Lakers
2054,Golden State Warriors
2055,Milwaukee Bucks
2056,New York Knicks
2057,Philadelphia 76ers
2058,Los Angeles Clippers
2059,Boston Celtics
2060,Atlanta Hawks
2061,Denver Nuggets
2062,Miami Heat
2063,Brooklyn Nets
2064,Dallas Mavericks
2065,Phoenix Suns
2066,Indiana Pacers
2067,Chicago Bulls
2068,Toronto Raptors
2069,New Orleans Pelicans
2070,San Antonio Spurs
2071,Memphis Grizzlies
2072,Charlotte Hornets
